,Longitude,Latitude
0,-92.55,47.51
1,-122.59,45.59
4,-73.15,41.23
5,-117.3,33.18
6,-104.88,39.54
9,-122.06,37.97
10,-74.04,41.0
11,-122.12,37.89
12,-77.43,37.54
13,-122.59,46.93
14,-76.22,36.9
18,-117.06,33.02
21,-86.26,39.85
22,-118.31,34.16
23,-117.84,34.03
24,-81.5,28.37
26,-104.82,38.81
28,-115.1,35.98
31,-86.23,39.94
32,-73.95,40.77
34,-122.22,37.47
35,-118.08,34.0
39,-84.36,34.08
41,-81.97,28.91
45,-88.0,42.05
46,-117.6,33.46
48,-122.0,37.35
49,-121.86,37.22
51,-119.29,34.28
54,-97.8,30.28
57,-117.99,34.06
58,-114.59,33.61
59,-121.11,38.65
61,-105.04,40.52
65,-111.96,33.38
67,-115.2,36.12
71,-76.13,36.83
72,-81.5,30.36
73,-82.89,40.0
76,-122.32,47.55
77,-122.72,45.41
78,-122.25,47.76
79,-82.48,29.66
80,-118.34,34.09
81,-86.13,40.44
82,-90.13,29.94
85,-96.14,41.23
86,-77.03,38.9
89,-118.43,34.04
90,-123.09,44.01
91,-77.16,39.36
92,-118.19,33.77
95,-74.01,40.71
96,-117.71,33.98
100,-116.53,33.8
105,-118.36,34.14
106,-73.74,40.94
107,-104.98,40.0
108,-122.45,37.66
109,-76.58,39.08
110,-117.54,34.11
112,-117.67,33.69
115,-87.65,41.88
116,-122.74,45.59
117,-122.09,37.69
118,-80.13,25.81
119,-77.26,42.88
121,-118.45,34.02
124,-70.51,43.47
125,-103.18,44.1
128,-118.49,34.02
133,-86.59,34.77
134,-119.79,36.78
136,-73.99,40.76
138,-83.61,41.06
142,-92.41,34.66
143,-121.98,37.5
144,-80.25,26.67
145,-89.58,37.3
148,-93.06,45.05
152,-76.32,39.55
165,-122.33,47.64
166,-117.22,34.53
168,-80.14,26.1
169,-74.01,40.73
172,-97.5,35.32
176,-122.33,47.62
182,-117.66,33.5
183,-80.21,26.65
185,-83.01,42.67
186,-108.59,39.08
187,-114.28,34.15
189,-105.1,39.74
190,-84.53,37.99
191,-88.12,41.61
192,-84.48,42.73
193,-118.27,33.81
194,-120.33,47.44
195,-86.57,39.17
196,-94.18,36.33
197,-72.57,41.77
198,-106.83,40.47
199,-85.14,41.18
200,-82.27,34.94
203,-118.25,34.23
204,-121.78,37.29
208,-121.84,39.74
210,-84.36,33.85
212,-115.15,36.04
213,-85.48,43.69
214,-122.76,48.03
216,-87.8,42.08
218,-122.05,38.26
219,-73.97,40.79
220,-73.59,40.66
224,-78.68,35.89
227,-118.4,33.96
228,-117.29,34.47
229,-86.71,33.43
230,-81.52,31.22
231,-91.14,30.42
232,-73.82,42.71
233,-93.56,45.32
234,-111.87,40.76
235,-104.72,38.91
237,-122.71,38.42
239,-104.77,39.52
240,-121.93,37.49
241,-72.29,42.93
244,-94.76,38.97
245,-93.75,41.6
247,-122.29,37.53
249,-96.89,33.17
250,-112.34,34.59
253,-110.26,31.56
256,-83.09,40.09
257,-80.17,26.45
259,-122.62,45.49
261,-120.83,44.3
262,-73.4,41.12
263,-77.37,35.61
264,-82.03,33.51
266,-70.79,43.09
267,-118.37,33.98
270,-96.88,33.18
272,-112.34,34.59
274,-78.68,35.84
275,-76.44,38.37
277,-78.8,35.66
279,-87.75,42.04
280,-75.21,39.95
287,-119.05,35.3
293,-119.07,34.35
294,-79.96,40.44
295,-118.29,34.1
297,-71.43,42.96
298,-118.39,34.08
299,-84.27,33.79
301,-93.14,44.94
303,-73.9,41.95
305,-87.64,41.88
306,-82.32,29.65
308,-122.42,40.57
310,-92.53,34.61
312,-157.83,21.28
313,-105.25,40.03
315,-84.27,33.99
316,-82.5,27.92
318,-115.17,36.13
320,-75.15,40.68
322,-82.98,42.63
323,-122.29,47.6
327,-74.03,40.63
328,-79.92,40.44
329,-76.33,37.06
330,-121.39,38.6
331,-118.37,33.86
333,-95.5,29.85
335,-93.27,44.97
336,-71.15,42.3
338,-81.06,29.2
339,-71.53,41.87
340,-93.57,44.9
342,-111.83,40.76
343,-97.09,32.93
344,-122.19,48.15
345,-73.11,41.29
346,-73.55,40.66
351,-73.78,42.71
352,-83.13,40.07
353,-86.89,41.68
356,-121.19,45.6
359,-118.45,34.05
362,-106.69,35.18
363,-88.27,41.42
366,-84.17,33.92
368,-115.28,36.22
370,-111.8,33.22
371,-86.25,41.68
372,-96.78,32.84
373,-115.18,36.11
374,-117.82,44.78
375,-122.65,47.57
376,-86.39,35.87
379,-82.52,35.58
385,-90.36,38.74
386,-117.41,47.65
387,-73.99,40.75
388,-83.18,42.56
390,-122.69,45.47
395,-119.18,34.23
397,-77.06,38.87
398,-83.34,33.92
400,-112.03,33.51
403,-93.45,44.97
407,-91.09,30.39
408,-87.68,34.8
409,-80.3,40.68
410,-72.8,40.87
413,-84.58,33.86
414,-111.84,33.38
415,-75.29,40.09
425,-116.28,43.61
430,-155.07,19.7
431,-117.72,34.08
432,-92.42,35.09
435,-84.25,30.5
436,-122.35,47.1
439,-121.91,37.7
443,-83.21,42.55
444,-117.89,34.13
445,-104.76,39.61
447,-76.3,40.13
448,-122.34,48.44
451,-121.65,36.66
452,-73.95,40.63
453,-87.63,41.9
454,-74.08,40.92
455,-73.95,40.78
461,-73.79,43.07
462,-74.07,40.96
463,-72.64,42.17
465,-73.99,41.96
466,-93.03,44.95
467,-90.0,38.79
468,-122.46,47.26
469,-71.52,41.87
470,-80.14,26.12
471,-111.09,32.13
474,-121.39,38.59
478,-122.41,37.78
480,-88.98,37.75
482,-122.71,38.35
483,-122.74,38.48
485,-117.27,33.09
487,-149.78,61.21
490,-118.45,34.06
493,-85.88,30.22
495,-118.3,33.86
498,-122.87,45.54
499,-77.06,38.8
500,-88.02,42.26
503,-122.67,42.19
504,-97.75,30.26
506,-118.01,33.75
507,-85.56,38.3
509,-111.84,40.58
510,-119.87,36.79
511,-118.14,33.78
512,-122.87,38.61
513,-118.39,34.08
515,-119.07,35.33
519,-95.6,29.74
520,-83.94,35.95
522,-122.34,47.61
523,-95.22,29.98
524,-117.2,32.73
526,-118.01,34.03
527,-77.05,38.9
529,-81.49,28.39
530,-82.72,27.96
531,-87.94,41.92
533,-88.23,40.11
535,-121.27,38.67
536,-122.57,45.34
540,-104.8,39.6
544,-122.33,47.61
545,-87.72,41.81
547,-84.95,32.54
552,-81.13,35.26
558,-82.66,35.55
559,-82.98,40.15
561,-84.09,35.94
564,-71.45,41.66
565,-84.44,33.48
566,-121.64,37.11
567,-119.78,36.74
570,-79.99,40.44
572,-122.1,47.67
573,-80.71,35.37
574,-111.98,33.58
575,-117.53,34.11
577,-116.4,33.72
578,-111.9,40.76
580,-87.9,41.98
581,-70.59,41.75
584,-122.35,47.69
587,-112.02,43.51
588,-122.62,45.48
590,-122.53,45.62
592,-78.44,38.03
594,-76.07,36.82
595,-75.15,39.95
597,-84.23,33.97
598,-71.13,42.35
601,-123.04,44.94
602,-118.26,34.13
604,-122.2,39.75
605,-117.67,33.56
607,-73.18,42.54
608,-75.21,40.03
610,-117.83,33.65
611,-122.22,47.85
612,-104.99,40.52
613,-118.38,34.08
615,-87.62,41.88
617,-86.07,39.91
620,-117.19,32.96
622,-75.09,40.09
623,-74.0,40.75
624,-111.93,33.45
629,-111.62,35.22
630,-84.33,39.27
631,-122.43,37.77
632,-73.26,41.14
633,-117.12,32.76
635,-81.44,41.31
637,-121.59,38.69
639,-101.96,33.55
640,-71.46,41.76
642,-123.1,44.05
643,-117.12,33.14
645,-87.83,42.19
647,-85.46,32.61
648,-105.02,39.88
650,-95.38,30.02
652,-121.99,37.52
655,-82.97,39.35
657,-86.11,40.04
660,-82.8,34.7
661,-88.18,30.7
662,-80.01,40.45
664,-122.77,45.49
665,-93.36,45.05
668,-80.34,25.75
669,-84.74,33.73
673,-122.06,37.97
675,-122.12,47.36
678,-106.58,35.32
680,-83.16,40.11
681,-81.9,41.42
682,-82.44,28.05
684,-74.96,39.94
685,-121.87,37.68
688,-121.99,37.34
691,-75.81,44.05
692,-111.9,40.86
694,-121.95,37.29
697,-82.16,29.17
698,-70.34,43.63
699,-118.4,37.37
706,-84.48,34.09
709,-78.09,40.06
710,-110.77,32.22
713,-103.86,44.5
714,-71.42,41.83
715,-117.54,47.62
717,-117.89,33.85
718,-74.91,39.97
720,-111.83,40.73
721,-83.11,40.1
722,-71.21,42.31
723,-80.21,26.23
726,-93.62,42.02
727,-75.83,40.15
729,-77.4,39.03
730,-86.16,39.62
732,-117.37,33.69
733,-106.15,39.5
735,-81.68,30.49
737,-80.33,26.12
738,-122.77,45.34
742,-76.57,39.28
747,-75.0,39.89
750,-121.44,36.51
752,-97.87,30.23
753,-86.47,36.38
756,-83.26,42.2
758,-77.61,37.65
761,-77.33,37.26
762,-95.83,41.22
765,-117.89,33.69
766,-92.45,35.08
767,-86.19,41.72
768,-80.28,25.8
772,-92.94,44.94
774,-83.3,42.7
776,-73.98,40.68
777,-122.4,37.78
781,-117.11,33.11
782,-122.23,37.48
783,-71.41,41.73
784,-105.01,39.55
785,-118.3,34.26
786,-71.18,42.4
787,-76.62,39.29
789,-80.25,26.19
790,-92.46,44.02
791,-86.22,41.05
793,-106.56,35.18
795,-82.93,40.11
797,-106.3,31.72
799,-86.91,40.42
801,-121.25,38.76
803,-87.71,42.08
804,-101.3,48.23
805,-122.3,37.99
806,-80.84,35.23
807,-122.43,37.78
809,-93.14,45.06
810,-115.14,36.17
813,-121.98,47.86
814,-80.73,35.3
816,-119.74,39.42
817,-94.09,33.46
818,-121.83,37.37
819,-88.02,41.83
821,-83.77,42.24
823,-97.68,30.56
824,-117.33,34.18
825,-87.13,30.6
826,-80.22,40.52
828,-98.19,26.18
829,-86.24,41.69
831,-116.98,46.72
836,-80.82,35.08
839,-82.07,39.34
842,-123.31,44.93
845,-83.3,42.33
847,-77.03,38.9
848,-74.04,40.73
850,-77.1,38.99
853,-82.95,32.54
855,-82.47,35.33
856,-84.4,41.61
857,-77.14,39.08
859,-87.67,41.98
861,-106.59,35.1
862,-83.16,40.1
865,-122.08,37.42
866,-118.39,33.95
868,-83.29,42.5
871,-117.36,33.19
872,-89.29,39.56
873,-122.03,37.26
877,-105.49,44.27
878,-111.88,40.64
879,-118.26,33.85
880,-81.64,41.4
881,-70.29,43.7
883,-122.33,47.66
884,-84.3,39.3
